# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
2288.5415820; 195.8205978; -14.2506320; -0.7633048; -0.0000593; 38.1888684; 3.9438004
2290.5403083; 197.2024292; -12.8065243; -0.7634241; -0.0000601; 38.3947239; 3.9216188
2292.5390346; 198.5844320; -11.3625843; -0.7635450; -0.0000609; 38.5983330; 3.8590159
2294.5377609; 199.9666147; -9.9188088; -0.7636678; -0.0000620; 38.7976487; 3.8383465
2296.5364871; 201.3489742; -8.4752067; -0.7637929; -0.0000632; 38.9948862; 3.8173530
2298.5352134; 202.7315150; -7.0317805; -0.7639205; -0.0000645; 39.1900604; 3.7584812
2300.5339397; 204.1142444; -5.5885299; -0.7640509; -0.0000660; 39.3812797; 3.7388967
2302.5326659; 205.4971627; -4.1454631; -0.7641842; -0.0000675; 39.5705857; 3.7189700
2304.5313922; 206.8802754; -2.7025834; -0.7643209; -0.0000692; 39.7579886; 3.6634390
2306.5301185; 208.2635887; -1.2598940; -0.7644610; -0.0000711; 39.9417335; 3.6448336
2308.5288448; 209.6471063; 0.1825982; -0.7646050; -0.0000730; 40.1237103; 3.6258700
2310.5275710; 211.0308349; 1.6248888; -0.7647530; -0.0000751; 40.3039250; 3.5733457
2312.5262973; 212.4147795; 3.0669711; -0.7649054; -0.0000773; 40.4807442; 1.7909787
2314.5250236; 213.7989471; 4.5088395; -0.7650622; -0.0000796; 40.5690769; 5.3021918
